company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
Rent-A-Center,642,,4583.5,134.9,,Retailing,Plano,TX,no,no,no,yes
Gartner,633,,4734,793.6,,Technology,Stamford,CT,no,no,no,yes
Par Pacific Holdings,634,,4710.1,-81.3,,Energy,Houston,TX,no,no,no,no
Hubbell,635,,4703.5,399.5,,Industrials,Shelton,CT,no,no,no,yes
CME Group,636,,4689.7,2636.4,,Financials,Chicago,IL,no,no,no,yes
Nexstar Media Group,637,,4648.4,834.6,,Media,Irving,TX,no,yes,no,yes
Prologis,629,,4759.4,2939.7,,Financials,San Francisco,CA,no,yes,no,yes
Welltower,630,,4742.1,336.1,,Financials,Toledo,OH,no,no,no,yes
Darling Ingredients,631,,4741.4,650.9,,"Food, Beverages & Tobacco",Irving,TX,no,no,no,yes
Juniper Networks,632,,4735.4,252.7,,Technology,Sunnyvale,CA,no,no,no,yes
TransDigm Group,624,,4798,680,,Aerospace & Defense,Cleveland,OH,no,no,no,yes
Stifel Financial,625,,4783.1,824.9,,Financials,St. Louis,MO,no,no,no,yes
JELD-WEN Holding,626,,4771.7,168.8,,Materials,Charlotte,NC,no,no,no,yes
Elanco Animal Health,628,,4765,-472,,Health Care,Greenfield,IN,no,no,no,no
Kelly Services,618,,4909.7,156.1,,Business Services,Troy,MI,no,no,no,yes
NiSource,619,,4899.6,584.9,,Energy,Merrillville,IN,no,no,no,yes
OneMain Holdings,620,,4895,1314,,Financials,Evansville,IN,no,no,no,yes
DoorDash,621,,4888,-468,,Technology,San Francisco,CA,no,yes,no,no
Avient,622,,4818.8,230.8,,Chemicals,Avon Lake,OH,no,no,no,yes
Sanderson Farms,623,,4799.7,455.1,,"Food, Beverages & Tobacco",Laurel,MS,no,no,no,yes
R.R. Donnelley & Sons,613,,4963.7,3.7,,Media,Chicago,IL,no,no,no,yes
Keysight Technologies,614,,4941,894,,Technology,Santa Rosa,CA,no,no,no,yes
Tempur Sealy International,615,,4930.8,624.5,,Household Products,Lexington,KY,no,no,no,yes
Scotts Miracle-Gro,616,,4925,512.5,,Chemicals,Marysville,OH,no,no,no,yes
Equifax,617,,4923.9,744.2,,Business Services,Atlanta,GA,no,no,no,yes
Broadridge Financial Solutions,608,,4993.7,547.5,,Business Services,Lake Success,NY,no,no,no,yes
Ingles Markets,609,,4987.9,249.7,,Food & Drug Stores,Black Mountain,NC,no,no,no,yes
Insperity,611,,4973.1,124.1,,Business Services,Kingwood,TX,no,yes,no,yes
Howmet Aerospace,612,,4972,258,,Aerospace & Defense,Pittsburgh,PA,no,no,no,yes
CUNA Mutual Group,602,,5049.5,622.3,,Financials,Madison,WI,no,no,no,yes
FMC,603,,5045.2,736.5,,Chemicals,Philadelphia,PA,no,no,no,yes
Carlisle,604,,5030,421.7,,Materials,Scottsdale,AZ,no,no,no,yes
American Eagle Outfitters,605,,5010.8,419.6,,Retailing,Pittsburgh,PA,no,no,no,yes
Vertiv Holdings,607,,4998.1,119.6,,Industrials,Columbus,OH,no,no,no,yes
SS&C Technologies Holdings,601,,5051,800,,Technology,Windsor,CT,no,yes,no,yes
PerkinElmer,600,,5067.2,943.2,,Health Care,Waltham,MA,no,no,no,yes
Skyworks Solutions,595,,5109.1,1498.3,,Technology,Irvine,CA,no,no,no,yes
Endeavor Group Holdings,596,,5077.7,-296.6,,Media,Beverly Hills,CA,no,no,no,no
Twitter,597,,5077.5,-221.4,,Technology,San Francisco,CA,no,no,no,no
Leggett & Platt,598,,5072.6,402.4,,Household Products,Carthage,MO,no,no,no,yes
Western Union,599,,5070.8,805.8,,Business Services,Denver,CO,no,no,no,yes
Yellow,591,,5121.8,-109.1,,Transportation,Nashville,TN,no,no,no,no
Encompass Health,592,,5121.6,412.2,,Health Care,Birmingham,AL,no,no,no,yes
Simon Property Group,593,,5116.8,2249.6,,Financials,Indianapolis,IN,no,no,no,yes
Globe Life,594,,5112.9,745,,Financials,McKinney,TX,no,no,no,yes
Church & Dwight,586,,5190.1,827.5,,Household Products,Ewing,NJ,no,no,no,yes
American Axle & Manufacturing,587,,5156.6,5.9,,Motor Vehicles & Parts,Detroit,MI,no,no,no,yes
Meritage Homes,588,,5141.3,737.4,,Engineering & Construction,Scottsdale,AZ,no,no,no,yes
Workday,589,,5138.8,29.4,,Technology,Pleasanton,CA,no,yes,no,yes
Rush Enterprises,590,,5126.1,241.4,,Retailing,New Braunfels,TX,no,no,no,yes
NGL Energy Partners,581,,5243.2,-639.8,,Energy,Tulsa,OK,no,no,no,no
Edwards Lifesciences,582,,5232.5,1503.1,,Health Care,Irvine,CA,no,no,no,yes
Hanover Insurance Group,583,,5227.8,418.7,,Financials,Worcester,MA,no,no,no,yes
Syneos Health,584,,5213,234.8,,Health Care,Morrisville,NC,no,no,yes,yes
Xylem,585,,5195,427,,Industrials,Washington,DC,no,no,no,yes
Pool,577,,5295.6,650.6,,Wholesalers,Covington,LA,no,no,no,yes
Old Dominion Freight Line,578,,5256.3,1034.4,,Transportation,Thomasville,NC,no,no,no,yes
Fortive,579,,5254.7,608.4,,Industrials,Everett,WA,no,no,no,yes
MDC Holdings,580,,5254.7,573.7,,Engineering & Construction,Denver,CO,no,no,no,yes
Microchip Technology,571,,5438.4,349.4,,Technology,Chandler,AZ,no,no,no,yes
Harley-Davidson,572,,5336.3,650,,Transportation,Milwaukee,WI,no,no,no,yes
Telephone & Data Systems,573,,5329,156,,Telecommunications,Chicago,IL,no,no,no,yes
ADT,574,,5307.1,-340.8,,Business Services,Boca Raton,FL,no,no,no,no
First Republic Bank,575,,5305,1478,,Financials,San Francisco,CA,no,no,no,yes
Warner Music Group,576,,5301,304,,Media,New York,NY,no,no,no,yes
